"acrid";"lojid";"catprodid";"usuid";"acrnome";"acrvalor";"status"
"22";"11";"36";"18";"Gelo";"0,50";"1"
"23";"35";"38";"49";"Gelo";"2,00";"1"
"24";"35";"38";"49";"Limão";"3,00";"1"
"25";"35";"39";"49";"Açúcar";"1,00";"1"
"26";"35";"43";"49";"Caldo de mocotó";"5,00";"1"
"27";"35";"40";"49";"Taça de Cristal ";"50,00";"1"
"28";"35";"40";"49";"Copo de prástico";"0,50";"1"
"29";"35";"40";"49";"Copo sem prástico";"0,00";"1"
"30";"35";"38";"49";"Gelo grátis";"0,00";"1"
"66";"51";"62";"65";"Borda cheddar";"1,00";"1"
"67";"51";"62";"65";"Borda Calab Catupiry";"7,00";"1"
"68";"51";"62";"65";"Borda Frang catupiry";"7,00";"1"
"69";"51";"62";"65";"Borda Calabr Cheddar";"7,00";"1"
"70";"51";"62";"65";"Borda Frango Cheddar";"7,00";"1"
"71";"51";"62";"65";"Borda Catupiry";"1,00";"1"
"72";"60";"73";"74";"Cobertura Chocolate";"8,00";"1"
"73";"60";"73";"74";"Cobertura Vulcão";"12,00";"1"
"74";"60";"73";"74";"Cobertura de Ninho";"8,00";"1"
"79";"11";"34";"18";"Tomate Cereja, Sementes, Cortado em Fatias Finas";"29,00";"1"
"86";"64";"101";"78";"Molho tártaro (grátis)";"0,01";"1"
"87";"64";"101";"78";"Molho Billy Jack (grátis)";"0,01";"1"
"88";"64";"101";"78";"Batata frita  mini";"4,00";"1"
"89";"64";"101";"78";"Guaracrac";"1,50";"1"
"90";"64";"101";"78";"Fanta laranja lata";"4,50";"1"
"91";"64";"101";"78";"Pipsi lata";"4,50";"1"
"92";"64";"101";"78";"Coca cola lata";"5,00";"1"
"93";"64";"101";"78";"Pudim";"3,00";"1"
"94";"64";"101";"78";"Batata frita média (meio kilo)";"10,00";"1"
"95";"64";"101";"78";"Batata com bacon ( meio kilo)";"15,00";"1"
"113";"64";"101";"78";"Coca cola 2l";"10,00";"1"
"114";"64";"101";"78";"Flexa 2l";"5,00";"1"
"115";"11";"92";"18";"Mussarela";"2,00";"1"
"116";"11";"92";"18";"Cebola";"1,00";"1"
"121";"11";"96";"18";"Leite";"1,00";"1"
"122";"11";"134";"18";"Fruta do dia";"3,00";"1"
"123";"84";"136";"98";"Açúcar";"1,00";"1"
